"rt","correct_response","response","time_elapsed","img_fname","img_category","img_subtype","img_version","sound_fname","sound_category","sound_subtype","sound_version","exp_part","part","ID"
"2892","j","F","47135","dog_rott_2","dog","rott","2","bird_label_B","bird","label","B","practice","result","pilotb_fystvnae03"
"2330","j","J","51502","motor_dirt_1","motor","dirt","1","guitar_label_B","guitar","label","B","practice","result","pilotb_fystvnae03"
"1439","f","F","54975","bird_hawk_2","bird","hawk","2","bird_label_B","bird","label","B","practice","result","pilotb_fystvnae03"
"1684","j","J","58693","bird_hawk_2","bird","hawk","2","drum_label_A","drum","label","A","practice","result","pilotb_fystvnae03"
"3710","f","F","64431","motor_harley_1","motor","harley","1","motor_label_B","motor","label","B","practice","result","pilotb_fystvnae03"
"1489","j","J","67954","bird_hawk_2","bird","hawk","2","dog_label_A","dog","label","A","practice","result","pilotb_fystvnae03"
"1643","f","F","76489","bird_song_1","bird","song","1","bird_label_B","bird","label","B","actual","result","pilotb_fystvnae03"
"1215","f","F","79738","drum_kit_2","drum","kit","2","drum_label_B","drum","label","B","actual","result","pilotb_fystvnae03"
"1000","f","F","82759","guitar_acoustic_1","guitar","acoustic","1","guitar_label_A","guitar","label","A","actual","result","pilotb_fystvnae03"
"1382","f","F","86183","dog_york_1","dog","york","1","dog_label_A","dog","label","A","actual","result","pilotb_fystvnae03"
"5636","j","J","93838","drum_kit_2","drum","kit","2","guitar_sound_A","guitar","sound","A","actual","result","pilotb_fystvnae03"
"1477","j","J","97355","drum_kit_2","drum","kit","2","dog_sound_A","dog","sound","A","actual","result","pilotb_fystvnae03"
"1501","j","J","100887","guitar_acoustic_1","guitar","acoustic","1","drum_label_B","drum","label","B","actual","result","pilotb_fystvnae03"
"2171","f","F","105085","phone_rotary_1","phone","rotary","1","phone_sound_A","phone","sound","A","actual","result","pilotb_fystvnae03"
"1001","f","F","108140","guitar_acoustic_2","guitar","acoustic","2","guitar_label_A","guitar","label","A","actual","result","pilotb_fystvnae03"
"1456","j","J","111616","dog_york_1","dog","york","1","bird_label_A","bird","label","A","actual","result","pilotb_fystvnae03"
"1382","f","F","115034","guitar_acoustic_1","guitar","acoustic","1","guitar_sound_A","guitar","sound","A","actual","result","pilotb_fystvnae03"
"1027","f","F","118086","bird_song_2","bird","song","2","bird_label_B","bird","label","B","actual","result","pilotb_fystvnae03"
"2149","f","F","122261","bird_hawk_2","bird","hawk","2","bird_sound_A","bird","sound","A","actual","result","pilotb_fystvnae03"
"1325","f","F","125625","dog_york_2","dog","york","2","dog_label_B","dog","label","B","actual","result","pilotb_fystvnae03"
"1247","j","J","128913","guitar_acoustic_2","guitar","acoustic","2","phone_label_B","phone","label","B","actual","result","pilotb_fystvnae03"
"1001","j","J","131952","bird_song_2","bird","song","2","phone_label_A","phone","label","A","actual","result","pilotb_fystvnae03"
"1525","f","F","135492","guitar_electric_1","guitar","electric","1","guitar_label_A","guitar","label","A","actual","result","pilotb_fystvnae03"
"2824","f","F","140347","dog_york_2","dog","york","2","dog_sound_B","dog","sound","B","actual","result","pilotb_fystvnae03"
"1562","j","J","143941","bird_song_1","bird","song","1","guitar_sound_B","guitar","sound","B","actual","result","pilotb_fystvnae03"
"1732","j","J","147688","bird_song_2","bird","song","2","guitar_sound_A","guitar","sound","A","actual","result","pilotb_fystvnae03"
"1374","j","F","151085","phone_rotary_2","phone","rotary","2","motor_sound_B","motor","sound","B","actual","result","pilotb_fystvnae03"
"994","f","F","154119","drum_kit_1","drum","kit","1","drum_sound_B","drum","sound","B","actual","result","pilotb_fystvnae03"
"1053","f","F","157204","motor_dirt_2","motor","dirt","2","motor_label_A","motor","label","A","actual","result","pilotb_fystvnae03"
"1680","j","J","160916","motor_harley_1","motor","harley","1","phone_sound_B","phone","sound","B","actual","result","pilotb_fystvnae03"
"1131","f","F","164074","phone_rotary_2","phone","rotary","2","phone_sound_A","phone","sound","A","actual","result","pilotb_fystvnae03"
"1248","f","F","167349","drum_bongo_2","drum","bongo","2","drum_sound_A","drum","sound","A","actual","result","pilotb_fystvnae03"
"1212","f","F","170596","phone_cell_1","phone","cell","1","phone_sound_B","phone","sound","B","actual","result","pilotb_fystvnae03"
"915","f","J","173551","motor_dirt_1","motor","dirt","1","motor_label_A","motor","label","A","actual","result","pilotb_fystvnae03"
"1560","j","J","177132","bird_song_2","bird","song","2","drum_label_B","drum","label","B","actual","result","pilotb_fystvnae03"
"1639","f","F","180810","dog_rott_1","dog","rott","1","dog_sound_B","dog","sound","B","actual","result","pilotb_fystvnae03"
"883","f","F","183713","dog_rott_1","dog","rott","1","dog_label_B","dog","label","B","actual","result","pilotb_fystvnae03"
"1230","f","F","186961","drum_bongo_2","drum","bongo","2","drum_sound_A","drum","sound","A","actual","result","pilotb_fystvnae03"
"1016","f","F","190016","phone_cell_2","phone","cell","2","phone_sound_A","phone","sound","A","actual","result","pilotb_fystvnae03"
"1042","f","F","193083","bird_song_1","bird","song","1","bird_label_B","bird","label","B","actual","result","pilotb_fystvnae03"
"1133","j","J","196248","dog_york_2","dog","york","2","guitar_label_B","guitar","label","B","actual","result","pilotb_fystvnae03"
"1398","j","J","199677","bird_song_2","bird","song","2","dog_label_A","dog","label","A","actual","result","pilotb_fystvnae03"
"1443","f","J","203150","motor_dirt_2","motor","dirt","2","motor_sound_B","motor","sound","B","actual","result","pilotb_fystvnae03"
