"rt","correct_response","response","time_elapsed","img_fname","img_category","img_subtype","img_version","sound_fname","sound_category","sound_subtype","sound_version","exp_part","part","ID"
"5639","f","f","84071","phone_cell_2","phone","cell","2","phone_sound_B","phone","sound","B","practice","result","pilotb_tw31xsaggr"
"2274","f","f","88351","bird_song_1","bird","song","1","bird_label_B","bird","label","B","practice","result","pilotb_tw31xsaggr"
"2119","j","j","92482","phone_cell_1","phone","cell","1","guitar_sound_B","guitar","sound","B","practice","result","pilotb_tw31xsaggr"
"541","f","f","95031","guitar_acoustic_1","guitar","acoustic","1","guitar_sound_B","guitar","sound","B","practice","result","pilotb_tw31xsaggr"
"2238","j","j","99273","phone_cell_2","phone","cell","2","guitar_label_B","guitar","label","B","practice","result","pilotb_tw31xsaggr"
"1851","j","j","103131","phone_rotary_1","phone","rotary","1","drum_sound_B","drum","sound","B","practice","result","pilotb_tw31xsaggr"
"668","j","j","110396","guitar_electric_1","guitar","electric","1","phone_label_A","phone","label","A","actual","result","pilotb_tw31xsaggr"
"1745","j","j","114148","dog_rott_1","dog","rott","1","phone_sound_B","phone","sound","B","actual","result","pilotb_tw31xsaggr"
"1970","f","f","118140","guitar_electric_1","guitar","electric","1","guitar_label_B","guitar","label","B","actual","result","pilotb_tw31xsaggr"
"540","j","j","120762","drum_bongo_2","drum","bongo","2","motor_label_B","motor","label","B","actual","result","pilotb_tw31xsaggr"
"908","f","f","123681","motor_dirt_2","motor","dirt","2","motor_label_A","motor","label","A","actual","result","pilotb_tw31xsaggr"
"830","j","j","126516","bird_hawk_2","bird","hawk","2","phone_sound_B","phone","sound","B","actual","result","pilotb_tw31xsaggr"
"571","j","j","129091","bird_song_1","bird","song","1","drum_label_A","drum","label","A","actual","result","pilotb_tw31xsaggr"
"964","j","f","132059","guitar_electric_2","guitar","electric","2","bird_sound_A","bird","sound","A","actual","result","pilotb_tw31xsaggr"
"1401","f","f","135536","dog_york_2","dog","york","2","dog_label_B","dog","label","B","actual","result","pilotb_tw31xsaggr"
"748","f","j","138291","drum_kit_2","drum","kit","2","drum_label_A","drum","label","A","actual","result","pilotb_tw31xsaggr"
"2151","f","f","142464","guitar_electric_2","guitar","electric","2","guitar_sound_B","guitar","sound","B","actual","result","pilotb_tw31xsaggr"
"1103","j","j","145576","guitar_electric_2","guitar","electric","2","dog_label_B","dog","label","B","actual","result","pilotb_tw31xsaggr"
"1616","f","f","149203","bird_hawk_2","bird","hawk","2","bird_sound_B","bird","sound","B","actual","result","pilotb_tw31xsaggr"
"886","f","f","152094","bird_hawk_1","bird","hawk","1","bird_label_A","bird","label","A","actual","result","pilotb_tw31xsaggr"
"565","f","f","154663","bird_song_1","bird","song","1","bird_label_B","bird","label","B","actual","result","pilotb_tw31xsaggr"
"683","j","j","157348","guitar_acoustic_1","guitar","acoustic","1","motor_sound_A","motor","sound","A","actual","result","pilotb_tw31xsaggr"
"1186","j","j","160539","bird_hawk_2","bird","hawk","2","guitar_label_B","guitar","label","B","actual","result","pilotb_tw31xsaggr"
"861","f","f","163405","drum_bongo_2","drum","bongo","2","drum_sound_B","drum","sound","B","actual","result","pilotb_tw31xsaggr"
"831","f","f","166239","guitar_electric_2","guitar","electric","2","guitar_label_A","guitar","label","A","actual","result","pilotb_tw31xsaggr"
"541","j","j","168787","drum_bongo_1","drum","bongo","1","bird_label_B","bird","label","B","actual","result","pilotb_tw31xsaggr"
"485","j","j","171274","motor_dirt_2","motor","dirt","2","dog_label_A","dog","label","A","actual","result","pilotb_tw31xsaggr"
"734","f","f","174015","dog_rott_2","dog","rott","2","dog_sound_A","dog","sound","A","actual","result","pilotb_tw31xsaggr"
"1098","j","j","177121","bird_hawk_1","bird","hawk","1","guitar_label_B","guitar","label","B","actual","result","pilotb_tw31xsaggr"
"953","f","f","180085","drum_kit_1","drum","kit","1","drum_sound_A","drum","sound","A","actual","result","pilotb_tw31xsaggr"
"1110","f","f","183193","phone_cell_2","phone","cell","2","phone_label_A","phone","label","A","actual","result","pilotb_tw31xsaggr"
"754","j","j","185952","motor_dirt_1","motor","dirt","1","drum_label_A","drum","label","A","actual","result","pilotb_tw31xsaggr"
"1156","j","j","189113","drum_bongo_2","drum","bongo","2","guitar_label_A","guitar","label","A","actual","result","pilotb_tw31xsaggr"
"647","j","j","191763","bird_song_1","bird","song","1","motor_label_A","motor","label","A","actual","result","pilotb_tw31xsaggr"
"603","j","j","194366","drum_bongo_2","drum","bongo","2","phone_label_A","phone","label","A","actual","result","pilotb_tw31xsaggr"
"648","f","f","197022","phone_rotary_1","phone","rotary","1","phone_sound_B","phone","sound","B","actual","result","pilotb_tw31xsaggr"
"707","j","j","199733","drum_kit_2","drum","kit","2","phone_label_B","phone","label","B","actual","result","pilotb_tw31xsaggr"
